FILTRO,AGR_FECHA,Y,var1_max_sal,var2_sow_m1,var_3_u3m,var4_mprm_u12m,FILLER
SIN_FILTRO,TRAINyTEST,0,50926.17,0.359499185,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,27871.19,0.23169947,1.0,0.0,
SIN_FILTRO,OOT,0,28899.41,0.68099689,0.66896131,0.0,
SIN_FILTRO,TRAINyTEST,1,41916.91,0.029188106,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,20000.0,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,25000.0,0.978237146,0.625339746,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,6536.31,0.328239454,1.0,127.6691667,
FILTRO,TRAINyTEST,0,0.0,0.904072083,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,18928.24,0.792259561,0.97231092,0.0,
SIN_FILTRO,TRAINyTEST,0,5647.1,1.0,0.070061986,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
FILTRO,TRAINyTEST,0,40239.12,0.706331642,0.307342819,7.45,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.690530443,0.695744488,0.0,
SIN_FILTRO,OOT,0,55000.0,0.782463026,0.848146915,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.768110427,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,47000.0,0.927350454,0.546132511,0.0,
SIN_FILTRO,OOT,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.722343622,0.862820748,0.0,
SIN_FILTRO,TRAINyTEST,0,8758.33,0.16175653,0.237093612,0.0,
SIN_FILTRO,OOT,0,25204.01,0.961335225,0.931012572,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,4483.36,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,32837.31,0.966043107,0.837350133,0.0,
SIN_FILTRO,OOT,0,1315.87,0.0,0.095668265,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,48768.34,0.527135278,0.8771984,0.0,
SIN_FILTRO,TRAINyTEST,0,7407.76,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,8001.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,OOT,0,13375.14,0.225953261,0.876415321,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.14804335,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,1500.0,0.983162757,0.248178061,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,OOT,0,42770.19,0.390355791,1.0,0.0,
SIN_FILTRO,OOT,0,27650.49,0.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,38477.26,1.0,0.987352228,0.0,
SIN_FILTRO,OOT,0,4413.43,0.307999772,0.169646415,0.0,
SIN_FILTRO,TRAINyTEST,0,23122.9,0.44231939,0.892250764,341.6666667,
SIN_FILTRO,OOT,0,48503.37,0.811889711,0.956044819,675.5391667,
SIN_FILTRO,OOT,0,48503.37,0.832719545,0.986921886,675.5391667,
SIN_FILTRO,OOT,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.253214892,1.0,0.0,
SIN_FILTRO,OOT,0,55000.0,0.447699476,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,10493.36,1.0,0.508658797,0.0,
SIN_FILTRO,TRAINyTEST,0,26000.0,1.0,0.531989839,3278.560833,
SIN_FILTRO,OOT,0,36858.69,1.0,0.637657173,0.0,
SIN_FILTRO,OOT,1,38980.27,1.0,0.637051951,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.627828494,0.815602465,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,5832.42,0.984600879,0.310336033,140.5625,
FILTRO,OOT,0,8980.41,0.847609114,0.167509505,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.001108958,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,,0.589980677,0.211344194,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.689545249,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,8941.65,0.060208343,0.732794429,3423.695,
SIN_FILTRO,TRAINyTEST,0,28000.0,1.0,0.864956341,3423.695,
SIN_FILTRO,OOT,0,55000.0,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,23072.14,1.0,0.825478686,0.0,
SIN_FILTRO,OOT,0,23000.0,1.0,0.832958776,0.0,
SIN_FILTRO,OOT,0,0.0,0.02702867,0.0,5053.295833,
SIN_FILTRO,TRAINyTEST,0,20950.28,0.613631927,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,OOT,0,11695.4,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,14000.0,1.0,0.5,13.76,
SIN_FILTRO,OOT,0,20408.97,1.0,1.0,0.0,
SIN_FILTRO,OOT,0,29959.02,0.915461146,0.623746893,0.0,
FILTRO,OOT,1,52281.57,0.0,0.515345996,0.0,
FILTRO,TRAINyTEST,0,28061.04,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,3242.94,1.0,1.0,2328.105,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,8738.38,0.0,0.0,0.0,
SIN_FILTRO,OOT,0,18566.18,1.0,1.0,0.0,
SIN_FILTRO,OOT,0,0.0,0.741081896,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,11679.85,0.436325887,1.0,8281.828333,
SIN_FILTRO,OOT,0,27077.35,0.758846549,0.73405311,0.0,
SIN_FILTRO,TRAINyTEST,0,14451.16,0.444744118,0.538143039,9766.434167,
SIN_FILTRO,TRAINyTEST,0,18000.0,0.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.918620195,0.981980567,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.615503,0.99264037,0.0,
SIN_FILTRO,TRAINyTEST,0,16851.68,0.612597189,0.422502106,119.365,
SIN_FILTRO,OOT,0,33305.61,0.775601522,,0.0,
SIN_FILTRO,TRAINyTEST,0,39003.48,0.595777556,0.552512033,0.0,
FILTRO,OOT,0,22579.0,0.525478459,0.235712924,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.451508603,0.928943148,0.0,
SIN_FILTRO,OOT,0,55000.0,1.0,1.0,0.0,
SIN_FILTRO,OOT,0,55000.0,0.866340432,0.935023892,2918.043333,
SIN_FILTRO,TRAINyTEST,0,55000.0,,0.430295659,0.0,
FILTRO,OOT,0,23171.47,0.622675287,0.343427714,0.0,
SIN_FILTRO,TRAINyTEST,0,39840.3,0.562277088,0.989365765,1425.165833,
SIN_FILTRO,TRAINyTEST,0,35309.26,0.835315093,0.930561809,0.0,
SIN_FILTRO,TRAINyTEST,0,38254.1,0.129546558,0.82229438,0.0,
SIN_FILTRO,OOT,0,15304.9,0.916689161,0.446636648,0.0,
FILTRO,OOT,0,2501.0,0.0,0.458996479,,
SIN_FILTRO,TRAINyTEST,0,28058.61,0.309322192,1.0,0.0,
FILTRO,TRAINyTEST,0,12041.73,1.0,0.837187961,2227.115,
SIN_FILTRO,TRAINyTEST,0,30222.91,0.694159785,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,27070.67,0.0,0.994599747,0.0,
SIN_FILTRO,TRAINyTEST,0,30835.44,0.0,1.0,0.0,
SIN_FILTRO,OOT,0,55000.0,0.598508117,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,32957.19,0.516947126,1.0,0.0,
SIN_FILTRO,OOT,0,22175.2,0.040762648,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,18082.74,0.533480792,0.93973358,0.0,
SIN_FILTRO,OOT,0,16683.38,0.59608133,0.970288964,0.0,
SIN_FILTRO,OOT,0,25754.58,0.989475107,0.54993252,6426.058333,
SIN_FILTRO,OOT,0,38894.47,0.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,38649.24,0.259675159,0.744765258,0.0,
SIN_FILTRO,TRAINyTEST,0,35445.06,0.43984581,0.615110098,254.3616667,
SIN_FILTRO,OOT,0,55000.0,0.706023024,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,733.43,0.0,1.0,0.0,
SIN_FILTRO,OOT,0,55000.0,0.506573099,0.930281441,0.0,
SIN_FILTRO,TRAINyTEST,0,2000.0,0.0,0.440298968,0.0,
SIN_FILTRO,OOT,0,18156.81,,0.404893454,0.0,
FILTRO,OOT,0,8000.0,0.64515927,0.297953722,0.0,
SIN_FILTRO,OOT,1,29020.11,0.73429166,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,9296.74,0.944327774,0.44923739,0.0,
SIN_FILTRO,TRAINyTEST,0,0.0,0.0,0.0,0.0,
SIN_FILTRO,TRAINyTEST,0,29867.6,0.173424415,0.808672437,0.0,
SIN_FILTRO,TRAINyTEST,0,55000.0,0.808333847,1.0,0.0,
SIN_FILTRO,OOT,0,14617.61,1.0,1.0,11666.27167,
SIN_FILTRO,OOT,0,39762.4,0.188140219,0.787556951,0.0,
SIN_FILTRO,OOT,0,14993.23,0.639706224,0.189895773,0.0,
SIN_FILTRO,TRAINyTEST,0,37471.98,0.30630834,0.799596842,0.0,
SIN_FILTRO,OOT,0,34190.66,0.593199425,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,16289.6,0.0,1.0,0.0,
SIN_FILTRO,OOT,0,55000.0,0.69143914,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,600.06,0.054625647,0.004194334,0.0,
SIN_FILTRO,TRAINyTEST,0,4969.72,0.571023186,0.31224306,0.0,
SIN_FILTRO,OOT,0,22088.7,0.069652134,1.0,1550.648333,
SIN_FILTRO,TRAINyTEST,0,11612.31,0.838223739,0.262026804,0.0,
SIN_FILTRO,TRAINyTEST,0,22252.63,1.0,1.0,12913.37833,
SIN_FILTRO,OOT,0,49377.0,0.706807702,1.0,1842.7975,
SIN_FILTRO,TRAINyTEST,0,34022.04,1.0,0.129907935,0.0,
SIN_FILTRO,TRAINyTEST,0,10859.67,0.0,0.51351759,0.0,
SIN_FILTRO,TRAINyTEST,0,37144.65,0.79450399,0.757397898,0.0,
SIN_FILTRO,TRAINyTEST,0,22732.3,0.465372174,0.886077426,0.0,
SIN_FILTRO,TRAINyTEST,0,45057.47,0.638831938,1.0,0.0,
SIN_FILTRO,OOT,0,44938.69,0.599752312,0.905796102,0.0,
FILTRO,TRAINyTEST,0,14496.98,0.72990565,0.21653228,0.0,
SIN_FILTRO,OOT,0,39995.93,0.279185907,1.0,0.0,
SIN_FILTRO,OOT,0,12714.44,0.628840624,0.442085892,0.0,
SIN_FILTRO,OOT,0,21950.33,0.0,1.0,0.0,
FILTRO,TRAINyTEST,0,28503.98,0.430399115,0.433829262,0.0,
FILTRO,TRAINyTEST,0,33566.39,0.0,0.494503866,0.0,
SIN_FILTRO,TRAINyTEST,0,43013.66,1.0,1.0,0.0,
SIN_FILTRO,TRAINyTEST,0,242.3,0.0,1.0,60.575,
SIN_FILTRO,TRAINyTEST,0,10000.0,1.0,1.0,0.0,
